id,subject_code,name,college,branch,year,description,portion_link
1,EE400,Electrical Drives,NITG,EEE,FOURTH,NULL,https://drive.google.com/file/d/16J2fKRnOEcVUmtv-ShG80mWvOH0oyvVG/view?usp=sharing
2,HS400,Management ,NITG,EEE,FOURTH,NULL,
3,EE401,Power Electronics & Drives Lab ,NITG,EEE,FOURTH,NULL,https://drive.google.com/file/d/1ZUYpKuAbT8pvuR0Sm690k03YIpn9gwWJ/view?usp=sharing
4,EE402,Seminar,NITG,EEE,FOURTH,NULL,
5,EE403,Programme Major Project-I,NITG,EEE,FOURTH,NULL,
6,EE450,Power System Operation and Control,NITG,EEE,FOURTH,NULL,https://drive.google.com/file/d/1qh2cl7mDpALnfiB8z8IuZr9LE9JeIae3/view?usp=sharing
7,EE452,Programme Major Project-II,NITG,EEE,FOURTH,NULL,
