id,subject_code,name,college,branch,year,description,portion_link
1,EC401,VLSI Circuit Design,NITG,ECE,FOURTH,NULL,https://drive.google.com/file/d/1KFJrDUp3ITZO1qywTu-uORQL9AMRzPH5/view?usp=sharing
2,HS400,Management,NITG,ECE,FOURTH,NULL,https://drive.google.com/file/d/15hWYQwznV5xeEV9BKU3_BUCw7CVz6LCw/view?usp=sharing
3,EC402,Information Theory and Coding,NITG,ECE,FOURTH,NULL,https://drive.google.com/file/d/1cCVG5PYaJUuRYXdM6DIVumXHmU_JKPfp/view?usp=sharing
4,EC403,VLSI Design Laboratory,NITG,ECE,FOURTH,NULL,https://drive.google.com/file/d/1dvDsrvBGpBvTEFNJvxnfMI_rxiP7eQj6/view?usp=sharing
5,EC448,Seminar,NITG,ECE,FOURTH,NULL,
6,EC449,Major Project,NITG,ECE,FOURTH,NULL,
