id,subject_code,name,college,branch,year,description,portion_link
1,ME400,Production and Operations Management,NITG,MCE,FOURTH,NULL,https://drive.google.com/file/d/12BecDqyE3xAU2In2dCfybSi4hDWjWJ9W/view?usp=sharing
2,ME401,Automatic Control ,NITG,MCE,FOURTH,NULL,https://drive.google.com/file/d/12BecDqyE3xAU2In2dCfybSi4hDWjWJ9W/view?usp=sharing
3,ME402,Seminar,NITG,MCE,FOURTH,NULL,
4,ME449,Major Project-I,NITG,MCE,FOURTH,NULL,
5,ME450,Industrial Engineering and Operation Research,NITG,MCE,FOURTH,NULL,https://drive.google.com/file/d/1A0Shc9emoAmjSsRPBmbuNw9Ak1ntFkSc/view?usp=sharing
6,ME499,Major Project – II,NITG,MCE,FOURTH,NULL,
